hidden_layer_sizes,lambda_reg,activation,initialization_mode,avg_val_mape,avg_val_reg_error,avg_initial_loss,avg_final_loss,avg_initial_train_mape,avg_final_train_mape,avg_iterations,avg_optimization_time_seconds,success_rate,unique_messages
"[64, 32]",0.01,relu,he,23.3906895328141,100.07792510070304,1657.0387519528972,99.82389805856278,99.73141419537775,23.354079722234864,41.2,4.900776529312134,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32]",0.01,relu,xavier,23.28167132012943,97.98393060548642,1661.6834185525956,97.60729469555538,99.48276174736303,23.252546275317194,60.0,5.844239044189453,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32]",0.01,tanh,he,23.225086365020015,99.91289941194032,1673.3700687141525,99.2958350328934,99.42350308968601,23.15280191156997,84.4,6.409554529190063,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32]",0.01,tanh,xavier,23.274239715447006,100.74214749928392,1675.6211119216434,99.89183965322817,99.92447625159896,23.20638429040945,89.0,6.445137929916382,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32]",0.01,swish,he,23.322817193870893,99.34409666018888,1681.8151238274313,99.18363801619526,100.63915978720215,23.29475455222511,62.4,9.246961498260498,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32]",0.01,swish,xavier,23.43777236684618,99.11453009392469,1678.4711767526055,98.99925737948595,99.8786523817234,23.40172504778833,47.4,8.592604207992554,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32]",0.1,relu,he,23.29947506190823,111.50766880075173,1688.0632934095743,111.12424893417361,98.8253014028912,23.24117744415469,62.8,5.7307209968566895,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32]",0.1,relu,xavier,23.660477461829487,105.37375970694434,1693.0360058427984,104.94744383027376,99.966362522333,23.617236821138096,70.0,6.2599958896636965,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32]",0.1,tanh,he,23.226647538053648,110.93976416569936,1695.86183476697,110.64513527863714,99.74789478205601,23.19535239907649,125.8,11.735517597198486,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32]",0.1,tanh,xavier,23.320609792147668,109.1097952129511,1680.4955902829875,108.67671968622957,99.83402364136478,23.262603417823545,124.0,9.919440364837646,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32]",0.1,swish,he,23.834631438474904,112.46804732126222,1680.6981123110133,112.39902904488308,99.63286703538299,23.79831984628285,56.8,8.022788333892823,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[64, 32]",0.1,swish,xavier,23.362407474334837,103.05002412267795,1688.6211569808652,102.9644048619655,100.14613728230884,23.326809898447248,72.8,9.988372468948365,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.001,relu,he,23.382742085927084,97.41114327376486,1690.477262954881,96.87934758293821,100.59772672673229,23.29499888891444,54.2,16.085125112533568,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.001,relu,xavier,23.291122274218242,97.0209111088902,1693.8659298302173,96.74810523697256,100.83370729658732,23.25004143638007,57.6,16.05698628425598,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.001,tanh,he,23.249709018800303,97.41303717750773,1663.4594597993746,95.98384835288759,100.10808221510753,23.07705946696745,85.6,22.238708448410033,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.001,tanh,xavier,23.312150595335744,97.91773246425235,1676.7333295363728,96.19650787763479,100.1812897254246,23.093738064949584,78.0,19.742778158187868,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.001,swish,he,23.352483134565432,98.47009219379606,1706.6605614239706,98.22580196250757,101.24753260338221,23.351382520425567,39.0,18.066543769836425,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.001,swish,xavier,23.47824346096207,97.7362369743038,1675.8872854777867,97.31997065306176,100.05759218817629,23.426920283894937,50.2,24.190005445480345,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64]",0.01,relu,he,23.67014520889182,102.63444650859284,1691.6562819827304,102.53855460873498,100.36642312299017,23.665043530540324,34.8,11.541596174240112,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
